Entité;Catégorie
cataloguing and study of remains;ANALYSIS_METHOD
CFD model;ANALYSIS_METHOD
CFD smulation;ANALYSIS_METHOD
characterisation;ANALYSIS_METHOD
characterisation of deposits;ANALYSIS_METHOD
characterisation of glass pieces;ANALYSIS_METHOD
characterisation of materials;ANALYSIS_METHOD
characterisation of paints;ANALYSIS_METHOD
characterization of 14C signal;ANALYSIS_METHOD
chemical analyses;ANALYSIS_METHOD
chemical analysis reconstitution;ANALYSIS_METHOD
chemical fingerprint;ANALYSIS_METHOD
chemical procedure;ANALYSIS_METHOD
chemical procedure described in [18];ANALYSIS_METHOD
CHM approach;ANALYSIS_METHOD
chronology obtained by dendrochronological dating;ANALYSIS_METHOD
CIELAB space scans;ANALYSIS_METHOD
civil engineering;ANALYSIS_METHOD
classical protocol adaptation;ANALYSIS_METHOD
Clear wood tests;ANALYSIS_METHOD
climate reconstruction;ANALYSIS_METHOD
collaborative analysis of multidisciplinary resources;ANALYSIS_METHOD
collaborative indexing;ANALYSIS_METHOD
colorimetric analysis;ANALYSIS_METHOD
colorimetric characterisation;ANALYSIS_METHOD
colorimetric study;ANALYSIS_METHOD
colorimetry;ANALYSIS_METHOD
colorimetry method;ANALYSIS_METHOD
common calculation hypotheses;ANALYSIS_METHOD
common protocol;ANALYSIS_METHOD
comparative analysis;ANALYSIS_METHOD
comparative criteria;ANALYSIS_METHOD
comparative grid;ANALYSIS_METHOD
comparative perspective;ANALYSIS_METHOD
comparative studies;ANALYSIS_METHOD
compare with Notre-Dame signature;ANALYSIS_METHOD
comparison of 2D and 3D approaches;ANALYSIS_METHOD
comparison of mean exposure;ANALYSIS_METHOD
comparison of shapes;ANALYSIS_METHOD
comparisons;ANALYSIS_METHOD
complementary surveys on Notre-Dame’s visitors;ANALYSIS_METHOD
computation;ANALYSIS_METHOD
Computational Fluid Dynamics (CFD);ANALYSIS_METHOD
computational modeling;ANALYSIS_METHOD
concentration analysis;ANALYSIS_METHOD
confirmation of temperature reached in the stones;ANALYSIS_METHOD
conservation criteria;ANALYSIS_METHOD
contact-based approach;ANALYSIS_METHOD
contour plot;ANALYSIS_METHOD
contrast evaluation;ANALYSIS_METHOD
core sampling;ANALYSIS_METHOD
coupled plasma mass spectrometry (LA-ICP-MS);ANALYSIS_METHOD
Creep study;ANALYSIS_METHOD
cross-analysis;ANALYSIS_METHOD
cross-checked;ANALYSIS_METHOD
cross-dated;ANALYSIS_METHOD
crossed investigations;ANALYSIS_METHOD
cross-referencing;ANALYSIS_METHOD
crowd recordings;ANALYSIS_METHOD
cylindric geometry;ANALYSIS_METHOD
Data analysis;ANALYSIS_METHOD
data correlation;ANALYSIS_METHOD
data correlation approach;ANALYSIS_METHOD
dating;ANALYSIS_METHOD
dating hypotheses;ANALYSIS_METHOD
dating strategy;ANALYSIS_METHOD
decision-making processes;ANALYSIS_METHOD
definition of application range of methodology;ANALYSIS_METHOD
deformation analysis;ANALYSIS_METHOD
deformation investigation;ANALYSIS_METHOD
dendrochonology;ANALYSIS_METHOD
dendrochronological analyses;ANALYSIS_METHOD
dendrochronological data;ANALYSIS_METHOD
dendrochronological dating;ANALYSIS_METHOD
dendrochronological evidence;ANALYSIS_METHOD
dendrochronological phasing;ANALYSIS_METHOD
dendrochronological re-examination;ANALYSIS_METHOD
dendrochronological studies;ANALYSIS_METHOD
dendrochronology;ANALYSIS_METHOD
dendro-isotopy;ANALYSIS_METHOD
dendro-isotopy study;ANALYSIS_METHOD
densification;ANALYSIS_METHOD
design of wooden roof structure;ANALYSIS_METHOD
detailed study;ANALYSIS_METHOD
detecting 14C excess;ANALYSIS_METHOD
detection;ANALYSIS_METHOD
determination of temperature effects;ANALYSIS_METHOD
diachronic analysis;ANALYSIS_METHOD
diagnosis;ANALYSIS_METHOD
diagnosis development;ANALYSIS_METHOD
diagnosis of monument stability;ANALYSIS_METHOD
diagnosis of structural integrity;ANALYSIS_METHOD
diagnosis production;ANALYSIS_METHOD
Differential Scanning Calorimetry (DSC) colorimetry;ANALYSIS_METHOD
digital data analysis;ANALYSIS_METHOD
digital data creation processes;ANALYSIS_METHOD
disciplinary lenses;ANALYSIS_METHOD
discrete simulations;ANALYSIS_METHOD
documentary research;ANALYSIS_METHOD
documentation analysis;ANALYSIS_METHOD
Drucker-Prager criterion;ANALYSIS_METHOD
dry dust sampling;ANALYSIS_METHOD
DSM-based approach;ANALYSIS_METHOD
DSM-based method;ANALYSIS_METHOD
ecosystem-centred architecture;ANALYSIS_METHOD
editing;ANALYSIS_METHOD
effectiveness of modelling strategies;ANALYSIS_METHOD
elastoplastic approach;ANALYSIS_METHOD
elemental analyses;ANALYSIS_METHOD
elemental tracing;ANALYSIS_METHOD
endoscopic methods;ANALYSIS_METHOD
endoscopic monitoring;ANALYSIS_METHOD
epipolar geometry;ANALYSIS_METHOD
estimating rigid transformation;ANALYSIS_METHOD
estimating translations;ANALYSIS_METHOD
Estimation;ANALYSIS_METHOD
evaluation;ANALYSIS_METHOD
evaluation of protocols;ANALYSIS_METHOD
evaluations;ANALYSIS_METHOD
evidence collection;ANALYSIS_METHOD
examination;ANALYSIS_METHOD
examination of vaulting;ANALYSIS_METHOD
experimental approach;ANALYSIS_METHOD
Experimental approaches;ANALYSIS_METHOD
Experimental approaches and studies;ANALYSIS_METHOD
experimental archaeology;ANALYSIS_METHOD
experimental methodology;ANALYSIS_METHOD
experimental research;ANALYSIS_METHOD
experimental techniques;ANALYSIS_METHOD
experimental tests;ANALYSIS_METHOD
experimentation;ANALYSIS_METHOD
experiments;ANALYSIS_METHOD
exploitation;ANALYSIS_METHOD
facies;ANALYSIS_METHOD
field investigation;ANALYSIS_METHOD
fine analysis limitation;ANALYSIS_METHOD
finite element module;ANALYSIS_METHOD
fire engineering;ANALYSIS_METHOD
fire modeling;ANALYSIS_METHOD
fire modelling;ANALYSIS_METHOD
footprint on the stone;ANALYSIS_METHOD
fractionation;ANALYSIS_METHOD
Fraser model;ANALYSIS_METHOD
fresh cuts analysis;ANALYSIS_METHOD
frictional cohesive zone model;ANALYSIS_METHOD
GCP-based registration;ANALYSIS_METHOD
genetics chemistry;ANALYSIS_METHOD
geochemical studies;ANALYSIS_METHOD
geochemical study;ANALYSIS_METHOD
geochemistry;ANALYSIS_METHOD
geological analysis;ANALYSIS_METHOD
geology;ANALYSIS_METHOD
geometric features computation;ANALYSIS_METHOD
geometrical acoustics model;ANALYSIS_METHOD
geometry;ANALYSIS_METHOD
geometry modeling;ANALYSIS_METHOD
geophysics;ANALYSIS_METHOD
Grading;ANALYSIS_METHOD
grid reference system;ANALYSIS_METHOD
ground geometry;ANALYSIS_METHOD
ground geometry;ANALYSIS_METHOD
ground-penetrating radar monitoring ultrasonic measurements;ANALYSIS_METHOD
ground-penetrating radar monitoring;ANALYSIS_METHOD
growth ring;ANALYSIS_METHOD
heat diffusion simulation;ANALYSIS_METHOD
heat flux estimation validation;ANALYSIS_METHOD
heat flux evaluation;ANALYSIS_METHOD
high-resolution geometry;ANALYSIS_METHOD
Hillerborg method;ANALYSIS_METHOD
historical lead signature;ANALYSIS_METHOD
historical research;ANALYSIS_METHOD
homotopy;ANALYSIS_METHOD
hot plane method;ANALYSIS_METHOD
hypotheses testing;ANALYSIS_METHOD
iconographic analysis;ANALYSIS_METHOD
iconography medieval traditions;ANALYSIS_METHOD
identification;ANALYSIS_METHOD
identification of external actions;ANALYSIS_METHOD
identification of initial function;ANALYSIS_METHOD
identification of physiochemical transformations;ANALYSIS_METHOD
image analysis;ANALYSIS_METHOD
implementation and testing of damage model;ANALYSIS_METHOD
implementation and testing of damage model;ANALYSIS_METHOD
implementing IntCal24;ANALYSIS_METHOD
independent matching;ANALYSIS_METHOD
individual survey;ANALYSIS_METHOD
Individual surveys;ANALYSIS_METHOD
initial conditions;ANALYSIS_METHOD
in-situ identification;ANALYSIS_METHOD
in-situ investigations;ANALYSIS_METHOD
in-situ observations;ANALYSIS_METHOD
inspection;ANALYSIS_METHOD
IntCal20;ANALYSIS_METHOD
integration survey;ANALYSIS_METHOD
interdisciplinary perspective;ANALYSIS_METHOD
interdisciplinary study;ANALYSIS_METHOD
Interface-element-based approach;ANALYSIS_METHOD
interpretation;ANALYSIS_METHOD
interpretation of historical sources;ANALYSIS_METHOD
interpretation of variations;ANALYSIS_METHOD
introducing new methods in heritage research;ANALYSIS_METHOD
investigation;ANALYSIS_METHOD
Isolines;ANALYSIS_METHOD
isotope analysis;ANALYSIS_METHOD
isotope dendroclimatology;ANALYSIS_METHOD
isotopic analysis;ANALYSIS_METHOD
isotopic fractionation;ANALYSIS_METHOD
iterative Least Squares method;ANALYSIS_METHOD
key findings methodology;ANALYSIS_METHOD
labelling;ANALYSIS_METHOD
laboratory analysis;ANALYSIS_METHOD
laboratory tests;ANALYSIS_METHOD
LA-ICP-MS analysis archaeological;ANALYSIS_METHOD
laser ablation inductively coupled plasma mass spectrometry (LA-ICP-MS);ANALYSIS_METHOD
lasergrammetric survey;ANALYSIS_METHOD
lasergrammetry;ANALYSIS_METHOD
laser-induced breakdown;ANALYSIS_METHOD
laser-induced breakdown spectroscopy (LIBS);ANALYSIS_METHOD
laser-scanner survey;ANALYSIS_METHOD
lead analyses;ANALYSIS_METHOD
lead isotopic tracing;ANALYSIS_METHOD
lead protocol;ANALYSIS_METHOD
lead sampling;ANALYSIS_METHOD
leave-one-out procedure;ANALYSIS_METHOD
lighting variation;ANALYSIS_METHOD
lixiviation by water thermal analyses;ANALYSIS_METHOD
long-term analysis;ANALYSIS_METHOD
Macroscopic identification;ANALYSIS_METHOD
marks of successive restorations;ANALYSIS_METHOD
masons’ marks;ANALYSIS_METHOD
matching;ANALYSIS_METHOD
Material analysis;ANALYSIS_METHOD
material examination;ANALYSIS_METHOD
mechanical behaviour;ANALYSIS_METHOD
mechanical calculation;ANALYSIS_METHOD
Mechanical calculation;ANALYSIS_METHOD
Mechanics;ANALYSIS_METHOD
mechanics of wood;ANALYSIS_METHOD
media cross sections;ANALYSIS_METHOD
mercury intrusion;ANALYSIS_METHOD
mercury intrusion porosimetry;ANALYSIS_METHOD
mercury porosimetry;ANALYSIS_METHOD
mesh refinement OpenFoam;ANALYSIS_METHOD
meshing;ANALYSIS_METHOD
Metallographic analysis;ANALYSIS_METHOD
Metallographic Examinations;ANALYSIS_METHOD
metallography;ANALYSIS_METHOD
method improvement;ANALYSIS_METHOD
methodological approach;ANALYSIS_METHOD
Methodological approaches;ANALYSIS_METHOD
methodological challenge of studying flows and crowds;ANALYSIS_METHOD
methodological developments;ANALYSIS_METHOD
methodological framework;ANALYSIS_METHOD
methodological questions;ANALYSIS_METHOD
methodological techniques;ANALYSIS_METHOD
methodology;ANALYSIS_METHOD
methodology development;ANALYSIS_METHOD
methods of wood supply study;ANALYSIS_METHOD
metric investigations;ANALYSIS_METHOD
micropores;ANALYSIS_METHOD
microscopic observations;ANALYSIS_METHOD
microscopy;ANALYSIS_METHOD
microscopy analysis;ANALYSIS_METHOD
microscopy techniques;ANALYSIS_METHOD
mineralogy;ANALYSIS_METHOD
mining and metallurgical archaeology;ANALYSIS_METHOD
model comparison;ANALYSIS_METHOD
modelling;ANALYSIS_METHOD
modelling and calculation issues;ANALYSIS_METHOD
Mohr-Coulomb criterion;ANALYSIS_METHOD
monitoring activities;ANALYSIS_METHOD
morphological analysis of collapsed vaults;ANALYSIS_METHOD
multidimensional analysis;ANALYSIS_METHOD
multidisciplinary approaches;ANALYSIS_METHOD
multimodal approaches;ANALYSIS_METHOD
multi-proxy approach;ANALYSIS_METHOD
multi-sensor based approaches;ANALYSIS_METHOD
multi-temporal displacements evaluation;ANALYSIS_METHOD
nanopores;ANALYSIS_METHOD
narrative analysis;ANALYSIS_METHOD
n-dimensional analysis;ANALYSIS_METHOD
Nital etching;ANALYSIS_METHOD
non-destructive techniques;ANALYSIS_METHOD
non-destructive testing;ANALYSIS_METHOD
non-invasive techniques;ANALYSIS_METHOD
non-linear regression fitting;ANALYSIS_METHOD
normalized naming;ANALYSIS_METHOD
Nuclear magnetic resonance;ANALYSIS_METHOD
numbering;ANALYSIS_METHOD
Numerical approaches;ANALYSIS_METHOD
numerical estimation;ANALYSIS_METHOD
numerical methodology;ANALYSIS_METHOD
numerical modelling;ANALYSIS_METHOD
numerical research;ANALYSIS_METHOD
numerical simulation;ANALYSIS_METHOD
Numerical simulations;ANALYSIS_METHOD
Numerical studies;ANALYSIS_METHOD
Oberhoffer’s etching;ANALYSIS_METHOD
observation;ANALYSIS_METHOD
observation and analysis;ANALYSIS_METHOD
observation of distribution and sizes of notches;ANALYSIS_METHOD
observation techniques;ANALYSIS_METHOD
observational study;ANALYSIS_METHOD
Observations;ANALYSIS_METHOD
Optical microscopy;ANALYSIS_METHOD
optimization of boundary conditions;ANALYSIS_METHOD
ore chemical signature;ANALYSIS_METHOD
orthophotography;ANALYSIS_METHOD
orthotropic damage model;ANALYSIS_METHOD
paleoclimatic reconstruction;ANALYSIS_METHOD
paleoclimatic records;ANALYSIS_METHOD
paleoclimatology;ANALYSIS_METHOD
palynological analysis;ANALYSIS_METHOD
palynology;ANALYSIS_METHOD
PCA (Principal Component Analysis);ANALYSIS_METHOD
Pearson test;ANALYSIS_METHOD
petrography;ANALYSIS_METHOD
photogrammetric recording;ANALYSIS_METHOD
photogrammetry;ANALYSIS_METHOD
photographing;ANALYSIS_METHOD
photography;ANALYSIS_METHOD
physical analysis;ANALYSIS_METHOD
physical chemistry;ANALYSIS_METHOD
physiochemical transformations theories;ANALYSIS_METHOD
physiochemistry;ANALYSIS_METHOD
planning restoration;ANALYSIS_METHOD
pollution signatures determination;ANALYSIS_METHOD
porosimetry;ANALYSIS_METHOD
post-disaster evaluations;ANALYSIS_METHOD
post-fire diagnoses;ANALYSIS_METHOD
post-fire diagnoses equilibrium point methodology;ANALYSIS_METHOD
post-seismic evaluations;ANALYSIS_METHOD
Prediction of round wood MOR from measured MOE;ANALYSIS_METHOD
principal component analysis (PCA);ANALYSIS_METHOD
Probability approaches;ANALYSIS_METHOD
processing;ANALYSIS_METHOD
Prospection;ANALYSIS_METHOD
prospection in-situ;ANALYSIS_METHOD
Protocol;ANALYSIS_METHOD
public survey on attendance of the towers of Notre-Dame;ANALYSIS_METHOD
pyrolysis;ANALYSIS_METHOD
quantitative analysis;ANALYSIS_METHOD
quantitative assessment;ANALYSIS_METHOD
quantitative information extraction;ANALYSIS_METHOD
RadCal narrow band model;ANALYSIS_METHOD
radial and height growth studies;ANALYSIS_METHOD
Radial Extended model;ANALYSIS_METHOD
radioactive decay;ANALYSIS_METHOD
radiocarbon dating;ANALYSIS_METHOD
Raman spectroscopy;ANALYSIS_METHOD
random sampling;ANALYSIS_METHOD
Raster-based approach;ANALYSIS_METHOD
rationalistic approach;ANALYSIS_METHOD
RBS;ANALYSIS_METHOD
RBS tomography;ANALYSIS_METHOD
RBS tomography optical spectroscopy;ANALYSIS_METHOD
reading and analysis;ANALYSIS_METHOD
reanalysis;ANALYSIS_METHOD
regional calibration;ANALYSIS_METHOD
regional transfer function;ANALYSIS_METHOD
regression;ANALYSIS_METHOD
relationship between MOE and MOR;ANALYSIS_METHOD
reliable identification of deformations;ANALYSIS_METHOD
residual error analysis;ANALYSIS_METHOD
restoration work modelling;ANALYSIS_METHOD
Retrospective protocol;ANALYSIS_METHOD
reverse engineering;ANALYSIS_METHOD
revisions of dendrochronological results;ANALYSIS_METHOD
rheology;ANALYSIS_METHOD
rigid registration;ANALYSIS_METHOD
room acoustics;ANALYSIS_METHOD
rotating crack model;ANALYSIS_METHOD
sample preparation;ANALYSIS_METHOD
sample selection;ANALYSIS_METHOD
sampling campaign;ANALYSIS_METHOD
sampling campaigns collated;ANALYSIS_METHOD
sampling technique;ANALYSIS_METHOD
sampling;ANALYSIS_METHOD
scaled model;ANALYSIS_METHOD
scaling up to large configurations;ANALYSIS_METHOD
scan;ANALYSIS_METHOD
Science protocol historical;ANALYSIS_METHOD
scientific analysis;ANALYSIS_METHOD
scientific characterisation;ANALYSIS_METHOD
Scientific investigation;ANALYSIS_METHOD
scientific or pragmatic protocols;ANALYSIS_METHOD
search for evidence clearing;ANALYSIS_METHOD
searching for variations in 14C production;ANALYSIS_METHOD
Sectioning;ANALYSIS_METHOD
SEM-EDS analysis;ANALYSIS_METHOD
sensitivity analyses;ANALYSIS_METHOD
sensitivity studies;ANALYSIS_METHOD
setting constraints on the flux emitted by and the rate of occurrence of supernovae;ANALYSIS_METHOD
setting constraints replicate;ANALYSIS_METHOD
signal processing;ANALYSIS_METHOD
singer directivity pattern;ANALYSIS_METHOD
site chronology;ANALYSIS_METHOD
socio-technical ecosystem;ANALYSIS_METHOD
sorting;ANALYSIS_METHOD
sorting process;ANALYSIS_METHOD
sound analysis;ANALYSIS_METHOD
sound interactions;ANALYSIS_METHOD
soundscape;ANALYSIS_METHOD
spatial analysis;ANALYSIS_METHOD
specific study;ANALYSIS_METHOD
spectrometry analysis;ANALYSIS_METHOD
spectroscopy;ANALYSIS_METHOD
spectroscopy (LIBS);ANALYSIS_METHOD
Spectroscopy Modelling;ANALYSIS_METHOD
Spectroscopy;ANALYSIS_METHOD
State of art;ANALYSIS_METHOD
statistical analysis;ANALYSIS_METHOD
statistical treatment;ANALYSIS_METHOD
statistics;ANALYSIS_METHOD
stoichiometry;ANALYSIS_METHOD
stone marks;ANALYSIS_METHOD
stratigraphic study;ANALYSIS_METHOD
stratigraphic study moulding;ANALYSIS_METHOD
stratigraphy;ANALYSIS_METHOD
structural diagnosis;ANALYSIS_METHOD
structural diagnostic support;ANALYSIS_METHOD
structural mechanics;ANALYSIS_METHOD
structural scale modelling strategies for masonry;ANALYSIS_METHOD
structural simulations;ANALYSIS_METHOD
Structural testing;ANALYSIS_METHOD
structure stability assessment;ANALYSIS_METHOD
studies;ANALYSIS_METHOD
Study;ANALYSIS_METHOD
study of wooden framework;ANALYSIS_METHOD
sub-optimal inputs exploration;ANALYSIS_METHOD
surface deposits characterisation;ANALYSIS_METHOD
surface temperature updating;ANALYSIS_METHOD
survey;ANALYSIS_METHOD
survey conducted by Voix Publics;ANALYSIS_METHOD
survey method;ANALYSIS_METHOD
surveys;ANALYSIS_METHOD
systematic photographs;ANALYSIS_METHOD
technical marks;ANALYSIS_METHOD
technical study;ANALYSIS_METHOD
teeth marks;ANALYSIS_METHOD
temperature analysis;ANALYSIS_METHOD
temperature profile comparison;ANALYSIS_METHOD
Temperatures Analysis;ANALYSIS_METHOD
temporal comparison;ANALYSIS_METHOD
Tensile tests;ANALYSIS_METHOD
terminological and ontological frameworks;ANALYSIS_METHOD
test;ANALYSIS_METHOD
testing;ANALYSIS_METHOD
tests;ANALYSIS_METHOD
textual analysis;ANALYSIS_METHOD
textual sources analysis;ANALYSIS_METHOD
TGA;ANALYSIS_METHOD
thermal analyses study;ANALYSIS_METHOD
thermal analyses;ANALYSIS_METHOD
thermal analysis;ANALYSIS_METHOD
thermal engineering;ANALYSIS_METHOD
thermal simulation;ANALYSIS_METHOD
thermal simulations average luminosities spherical caps;ANALYSIS_METHOD
Thermogravimetric Analysis (TGA);ANALYSIS_METHOD
thermomechanical processes;ANALYSIS_METHOD
tie points;ANALYSIS_METHOD
tool blade sliding;ANALYSIS_METHOD
tools study;ANALYSIS_METHOD
topographic surveys;ANALYSIS_METHOD
Trace element Analysis;ANALYSIS_METHOD
trace elements concentrations based separation;ANALYSIS_METHOD
trans-disciplinary approach;ANALYSIS_METHOD
transversal approach;ANALYSIS_METHOD
treatment of the sound sources;ANALYSIS_METHOD
trialing        ;ANALYSIS_METHOD
typo-chronology;ANALYSIS_METHOD
Typology analysis;ANALYSIS_METHOD
ultrasound techniques;ANALYSIS_METHOD
Ultrasound techniques;ANALYSIS_METHOD
U-Mann Whitney;ANALYSIS_METHOD
understanding interaction;ANALYSIS_METHOD
validation of numerical analyses;ANALYSIS_METHOD
validation of theories;ANALYSIS_METHOD
validation scenario;ANALYSIS_METHOD
varve counting;ANALYSIS_METHOD
verification;ANALYSIS_METHOD
verification of the consistency of the scene;ANALYSIS_METHOD
Vibration techniques;ANALYSIS_METHOD
visual comparative analysis;ANALYSIS_METHOD
visual correlation 2.5D representations;ANALYSIS_METHOD
visual inspection;ANALYSIS_METHOD
Weld inspections;ANALYSIS_METHOD
wet sampling;ANALYSIS_METHOD
wiggle matching;ANALYSIS_METHOD
wood engineering;ANALYSIS_METHOD
Wood mechanics;ANALYSIS_METHOD
workflow synthesis;ANALYSIS_METHOD
working hypothesis;ANALYSIS_METHOD
written sources analysis;ANALYSIS_METHOD
X-ray analyses;ANALYSIS_METHOD
X-ray diffraction;ANALYSIS_METHOD
X-ray fluorescence (XRF) using a Brüker® S4Explorer;ANALYSIS_METHOD
X-ray fluorescence spectrometry;ANALYSIS_METHOD
X-Ray tomography;ANALYSIS_METHOD
X-Ray tomography modelling;ANALYSIS_METHOD
XRF;ANALYSIS_METHOD
XRF analysis;ANALYSIS_METHOD
XRF chemical compositions;ANALYSIS_METHOD
Yield design theory working point analysis;ANALYSIS_METHOD
19th century roof and spire;ARCH_ELEMENT
19th century roof;ARCH_ELEMENT
19th-century panel;ARCH_ELEMENT
abutments;ARCH_ELEMENT
altar;ARCH_ELEMENT
ambulatory;ARCH_ELEMENT
ancient framed;ARCH_ELEMENT
ancient stained glass;ARCH_ELEMENT
angle rolls;ARCH_ELEMENT
apse;ARCH_ELEMENT
apse circle;ARCH_ELEMENT
apsidal hips frame;ARCH_ELEMENT
Arcades;ARCH_ELEMENT
arch;ARCH_ELEMENT
arch stones;ARCH_ELEMENT
arch vestiges;ARCH_ELEMENT
arches;ARCH_ELEMENT
armatures;ARCH_ELEMENT
arms of the transept spans;ARCH_ELEMENT
art works;ARCH_ELEMENT
articulation of structures;ARCH_ELEMENT
articulations;ARCH_ELEMENT
assembly items;ARCH_ELEMENT
attic;ARCH_ELEMENT
Axe-hewn logs;ARCH_ELEMENT
barbs;ARCH_ELEMENT
Barrels;ARCH_ELEMENT
bases;ARCH_ELEMENT
battens;ARCH_ELEMENT
Bay mullions;ARCH_ELEMENT
bay;ARCH_ELEMENT
bays 107 & 109;ARCH_ELEMENT
bays;ARCH_ELEMENT
beam;ARCH_ELEMENT
Beams;ARCH_ELEMENT
blocks;ARCH_ELEMENT
bracing;ARCH_ELEMENT
bridges;ARCH_ELEMENT
building;ARCH_ELEMENT
building stones;ARCH_ELEMENT
buttresses;ARCH_ELEMENT
canons;ARCH_ELEMENT
carpentry pieces;ARCH_ELEMENT
carpentry;ARCH_ELEMENT
Cast lead elements;ARCH_ELEMENT
cathedral roof;ARCH_ELEMENT
cathedral roof northern side;ARCH_ELEMENT
cathedrals;ARCH_ELEMENT
cathedral's structural elements;ARCH_ELEMENT
Cell wall;ARCH_ELEMENT
centering frames;ARCH_ELEMENT
central aisle;ARCH_ELEMENT
central oculus;ARCH_ELEMENT
central vessel;ARCH_ELEMENT
chain-links;ARCH_ELEMENT
chancel;ARCH_ELEMENT
chapel;ARCH_ELEMENT
chapels;ARCH_ELEMENT
Chapels’ walls;ARCH_ELEMENT
charred oak trusses;ARCH_ELEMENT
charred wood;ARCH_ELEMENT
Chequered cornice;ARCH_ELEMENT
Chevet;ARCH_ELEMENT
chimera;ARCH_ELEMENT
Choir;ARCH_ELEMENT
choir apse;ARCH_ELEMENT
choir arch;ARCH_ELEMENT
choir door;ARCH_ELEMENT
choir frame;ARCH_ELEMENT
choir organ;ARCH_ELEMENT
choir rafter;ARCH_ELEMENT
choir stalls;ARCH_ELEMENT
Choir timber frames;ARCH_ELEMENT
Choir vaults;ARCH_ELEMENT
choir's hips;ARCH_ELEMENT
chorus;ARCH_ELEMENT
circular profiles;ARCH_ELEMENT
clamping keys;ARCH_ELEMENT
claw;ARCH_ELEMENT
Clear-wood boards;ARCH_ELEMENT
cloister;ARCH_ELEMENT
clôture;ARCH_ELEMENT
collapsed arch;ARCH_ELEMENT
collapsed transverse arch;ARCH_ELEMENT
collapsed vaults;ARCH_ELEMENT
collar ties;ARCH_ELEMENT
collections;ARCH_ELEMENT
colored borders;ARCH_ELEMENT
column abacuses;ARCH_ELEMENT
columns;ARCH_ELEMENT
complex timber frame;ARCH_ELEMENT
components;ARCH_ELEMENT
compression ring;ARCH_ELEMENT
Concrete beams;ARCH_ELEMENT
