Entité;Catégorie;Entité_FR
computational modeling;ANALYSIS_METHOD;modélisation computationnelle
concentration analysis;ANALYSIS_METHOD;analyse de concentration
confirmation of temperature reached in the stones;ANALYSIS_METHOD;confirmation de la température atteinte dans les pierres
conservation criteria;ANALYSIS_METHOD;critères de conservation
contact-based approach;ANALYSIS_METHOD;approche basée sur le contact
contour plot;ANALYSIS_METHOD;carte de contours
contrast evaluation;ANALYSIS_METHOD;évaluation du contraste
core sampling;ANALYSIS_METHOD;prélèvement de carottage
coupled plasma mass spectrometry (LA-ICP-MS);ANALYSIS_METHOD;spectrométrie de masse à plasma couplé laser (LA-ICP-MS)
Creep study;ANALYSIS_METHOD;étude de la fluage
cross-analysis;ANALYSIS_METHOD;analyse croisée
cross-checked;ANALYSIS_METHOD;vérifié par croisement
cross-dated;ANALYSIS_METHOD;daté par croisement
crossed investigations;ANALYSIS_METHOD;investigations croisées
cross-referencing;ANALYSIS_METHOD;croisement de références
crowd recordings;ANALYSIS_METHOD;enregistrements de foule
cylindric geometry;ANALYSIS_METHOD;géométrie cylindrique
Data analysis;ANALYSIS_METHOD;analyse des données
data correlation;ANALYSIS_METHOD;corrélation des données
data correlation approach;ANALYSIS_METHOD;approche par corrélation des données
dating;ANALYSIS_METHOD;datation
dating hypotheses;ANALYSIS_METHOD;hypothèses de datation
dating strategy;ANALYSIS_METHOD;stratégie de datation
decision-making processes;ANALYSIS_METHOD;processus de prise de décision
definition of application range of methodology;ANALYSIS_METHOD;définition du champ d'application de la méthodologie
deformation analysis;ANALYSIS_METHOD;analyse des déformations
deformation investigation;ANALYSIS_METHOD;enquête sur la déformation
dendrochonology;ANALYSIS_METHOD;dendrochronologie
dendrochronological analyses;ANALYSIS_METHOD;analyses dendrochronologiques
dendrochronological data;ANALYSIS_METHOD;données dendrochronologiques
dendrochronological dating;ANALYSIS_METHOD;datation dendrochronologique
dendrochronological evidence;ANALYSIS_METHOD;preuves dendrochronologiques
dendrochronological phasing;ANALYSIS_METHOD;phases dendrochronologiques
dendrochronological re-examination;ANALYSIS_METHOD;réexamen dendrochronologique
dendrochronological studies;ANALYSIS_METHOD;études dendrochronologiques
dendrochronology;ANALYSIS_METHOD;dendrochronologie
dendro-isotopy;ANALYSIS_METHOD;dendro-isotopie
dendro-isotopy study;ANALYSIS_METHOD;étude de dendro-isotopie
densification;ANALYSIS_METHOD;densification
design of wooden roof structure;ANALYSIS_METHOD;conception de la structure en bois du toit
detailed study;ANALYSIS_METHOD;étude détaillée
detecting 14C excess;ANALYSIS_METHOD;détection de l'excès de 14C
detection;ANALYSIS_METHOD;détection
determination of temperature effects;ANALYSIS_METHOD;détermination des effets de température
diachronic analysis;ANALYSIS_METHOD;analyse diachronique
diagnosis;ANALYSIS_METHOD;diagnostic
diagnosis development;ANALYSIS_METHOD;développement du diagnostic
diagnosis of monument stability;ANALYSIS_METHOD;diagnostic de la stabilité du monument
diagnosis of structural integrity;ANALYSIS_METHOD;diagnostic de l'intégrité structurelle
diagnosis production;ANALYSIS_METHOD;production du diagnostic
Differential Scanning Calorimetry (DSC) colorimetry;ANALYSIS_METHOD;colorimétrie par calorimétrie différentielle de balayage (DSC)
digital data analysis;ANALYSIS_METHOD;analyse des données numériques
digital data creation processes;ANALYSIS_METHOD;processus de création de données numériques
disciplinary lenses;ANALYSIS_METHOD;lunettes disciplinaires
discrete simulations;ANALYSIS_METHOD;simulations discrètes
documentary research;ANALYSIS_METHOD;recherche documentaire
documentation analysis;ANALYSIS_METHOD;analyse de la documentation
Drucker-Prager criterion;ANALYSIS_METHOD;critère de Drucker-Prager
dry dust sampling;ANALYSIS_METHOD;prélèvement de poussière sèche
DSM-based approach;ANALYSIS_METHOD;approche basée sur le DSM
DSM-based method;ANALYSIS_METHOD;méthode basée sur le DSM
ecosystem-centred architecture;ANALYSIS_METHOD;architecture centrée sur l'écosystème
editing;ANALYSIS_METHOD;édition
effectiveness of modelling strategies;ANALYSIS_METHOD;efficacité des stratégies de modélisation
elastoplastic approach;ANALYSIS_METHOD;approche élastoplastique
elemental analyses;ANALYSIS_METHOD;analyses élémentaires
elemental tracing;ANALYSIS_METHOD;traçage élémentaire
endoscopic methods;ANALYSIS_METHOD;méthodes endoscopiques
endoscopic monitoring;ANALYSIS_METHOD;suivi endoscopique
epipolar geometry;ANALYSIS_METHOD;géométrie épipolaire
estimating rigid transformation;ANALYSIS_METHOD;estimation de la transformation rigide
estimating translations;ANALYSIS_METHOD;estimation des translations
Estimation;ANALYSIS_METHOD;Estimation
evaluation;ANALYSIS_METHOD;évaluation
evaluation of protocols;ANALYSIS_METHOD;évaluation des protocoles
evaluations;ANALYSIS_METHOD;évaluations
evidence collection;ANALYSIS_METHOD;collecte de preuves
examination;ANALYSIS_METHOD;examen
examination of vaulting;ANALYSIS_METHOD;examen des voûtes
experimental approach;ANALYSIS_METHOD;approche expérimentale
Experimental approaches;ANALYSIS_METHOD;approches expérimentales
Experimental approaches and studies;ANALYSIS_METHOD;approches et études expérimentales
experimental archaeology;ANALYSIS_METHOD;archéologie expérimentale
experimental methodology;ANALYSIS_METHOD;méthodologie expérimentale
experimental research;ANALYSIS_METHOD;recherche expérimentale
experimental techniques;ANALYSIS_METHOD;techniques expérimentales
experimental tests;ANALYSIS_METHOD;essais expérimentaux
experimentation;ANALYSIS_METHOD;expérimentation
experiments;ANALYSIS_METHOD;expériences
exploitation;ANALYSIS_METHOD;exploitation
facies;ANALYSIS_METHOD;faciès
field investigation;ANALYSIS_METHOD;enquête de terrain
fine analysis limitation;ANALYSIS_METHOD;limites de l'analyse fine
finite element module;ANALYSIS_METHOD;module d'éléments finis
fire engineering;ANALYSIS_METHOD;ingénierie des incendies
fire modeling;ANALYSIS_METHOD;modélisation des incendies
fire modelling;ANALYSIS_METHOD;modélisation des incendies
footprint on the stone;ANALYSIS_METHOD;empreinte sur la pierre
fractionation;ANALYSIS_METHOD;fractionnement
Fraser model;ANALYSIS_METHOD;modèle de Fraser
fresh cuts analysis;ANALYSIS_METHOD;analyse des coupes fraîches
frictional cohesive zone model;ANALYSIS_METHOD;modèle de zone cohésive frictionnelle
GCP-based registration;ANALYSIS_METHOD;enregistrement basé sur les GCP
genetics chemistry;ANALYSIS_METHOD;chimie génétique
geochemical studies;ANALYSIS_METHOD;études géochimiques
geochemical study;ANALYSIS_METHOD;étude géochimique
geochemistry;ANALYSIS_METHOD;géochimie
geological analysis;ANALYSIS_METHOD;analyse géologique
geology;ANALYSIS_METHOD;géologie
geometric features computation;ANALYSIS_METHOD;calcul des caractéristiques géométriques
geometrical acoustics model;ANALYSIS_METHOD;modèle d'acoustique géométrique
geometry;ANALYSIS_METHOD;géométrie
geometry modeling;ANALYSIS_METHOD;modélisation de la géométrie
geophysics;ANALYSIS_METHOD;géophysique
Grading;ANALYSIS_METHOD;classement
grid reference system;ANALYSIS_METHOD;système de référence en grille
ground geometry;ANALYSIS_METHOD;géométrie du sol
ground geometry;ANALYSIS_METHOD;géométrie du sol
ground-penetrating radar monitoring ultrasonic measurements;ANALYSIS_METHOD;mesures ultrasonores de surveillance par radar à pénétration de sol
ground-penetrating radar monitoring;ANALYSIS_METHOD;surveillance par radar à pénétration de sol
growth ring;ANALYSIS_METHOD;anneau de croissance
heat diffusion simulation;ANALYSIS_METHOD;simulation de diffusion de la chaleur
heat flux estimation validation;ANALYSIS_METHOD;validation de l'estimation du flux de chaleur
heat flux evaluation;ANALYSIS_METHOD;évaluation du flux de chaleur
high-resolution geometry;ANALYSIS_METHOD;géométrie à haute résolution
Hillerborg method;ANALYSIS_METHOD;méthode de Hillerborg
historical lead signature;ANALYSIS_METHOD;signature historique du plomb
historical research;ANALYSIS_METHOD;recherche historique
homotopy;ANALYSIS_METHOD;homotopie
hot plane method;ANALYSIS_METHOD;méthode du plan chaud
hypotheses testing;ANALYSIS_METHOD;tests d'hypothèses
iconographic analysis;ANALYSIS_METHOD;analyse iconographique
iconography medieval traditions;ANALYSIS_METHOD;iconographie des traditions médiévales
identification;ANALYSIS_METHOD;identification
identification of external actions;ANALYSIS_METHOD;identification des actions externes
identification of initial function;ANALYSIS_METHOD;identification de la fonction initiale
identification of physiochemical transformations;ANALYSIS_METHOD;identification des transformations physicochimiques
image analysis;ANALYSIS_METHOD;analyse d'image
implementation and testing of damage model;ANALYSIS_METHOD;mise en œuvre et test du modèle de dégradation
implementation and testing of damage model;ANALYSIS_METHOD;mise en œuvre et test du modèle de dégradation
implementing IntCal24;ANALYSIS_METHOD;mise en œuvre d'IntCal24
independent matching;ANALYSIS_METHOD;appariement indépendant
individual survey;ANALYSIS_METHOD;enquête individuelle
Individual surveys;ANALYSIS_METHOD;enquêtes individuelles
initial conditions;ANALYSIS_METHOD;conditions initiales
in-situ identification;ANALYSIS_METHOD;identification in situ
in-situ investigations;ANALYSIS_METHOD;investigations in situ
in-situ observations;ANALYSIS_METHOD;observations in situ
inspection;ANALYSIS_METHOD;inspection
IntCal20;ANALYSIS_METHOD;IntCal20
integration survey;ANALYSIS_METHOD;relevé intégré
interdisciplinary perspective;ANALYSIS_METHOD;perspective interdisciplinaire
interdisciplinary study;ANALYSIS_METHOD;étude interdisciplinaire
Interface-element-based approach;ANALYSIS_METHOD;approche basée sur les éléments d'interface
interpretation;ANALYSIS_METHOD;interprétation
interpretation of historical sources;ANALYSIS_METHOD;interprétation des sources historiques
interpretation of variations;ANALYSIS_METHOD;interprétation des variations
introducing new methods in heritage research;ANALYSIS_METHOD;introduction de nouvelles méthodes dans la recherche patrimoniale
investigation;ANALYSIS_METHOD;enquête
Isolines;ANALYSIS_METHOD;isolinés
isotope analysis;ANALYSIS_METHOD;analyse isotopique
isotope dendroclimatology;ANALYSIS_METHOD;dendroclimatologie isotopique
isotopic analysis;ANALYSIS_METHOD;analyse isotopique
isotopic fractionation;ANALYSIS_METHOD;fractionnement isotopique
iterative Least Squares method;ANALYSIS_METHOD;méthode itérative des moindres carrés
key findings methodology;ANALYSIS_METHOD;méthodologie des résultats clés
labelling;ANALYSIS_METHOD;étiquetage
laboratory analysis;ANALYSIS_METHOD;analyse de laboratoire
laboratory tests;ANALYSIS_METHOD;tests de laboratoire
LA-ICP-MS analysis archaeological;ANALYSIS_METHOD;analyse LA-ICP-MS archéologique
laser ablation inductively coupled plasma mass spectrometry (LA-ICP-MS);ANALYSIS_METHOD;spectrométrie de masse à plasma couplé inductivement par ablation laser (LA-ICP-MS)
lasergrammetric survey;ANALYSIS_METHOD;levé lasergrammétrique
lasergrammetry;ANALYSIS_METHOD;lasergrammétrie
laser-induced breakdown;ANALYSIS_METHOD;décomposition induite par laser
laser-induced breakdown spectroscopy (LIBS);ANALYSIS_METHOD;spectroscopie de décomposition induite par laser (LIBS)
laser-scanner survey;ANALYSIS_METHOD;levé par télémètre laser
lead analyses;ANALYSIS_METHOD;analyses du plomb
lead isotopic tracing;ANALYSIS_METHOD;traçage isotopique du plomb
lead protocol;ANALYSIS_METHOD;protocole de plomb
lead sampling;ANALYSIS_METHOD;prélèvement de plomb
leave-one-out procedure;ANALYSIS_METHOD;procédure leave-one-out
lighting variation;ANALYSIS_METHOD;variation d'éclairage
lixiviation by water thermal analyses;ANALYSIS_METHOD;lixiviation par les analyses thermiques de l'eau
long-term analysis;ANALYSIS_METHOD;analyse à long terme
Macroscopic identification;ANALYSIS_METHOD;identification macroscopique
marks of successive restorations;ANALYSIS_METHOD;traces de restaurations successives
masons’ marks;ANALYSIS_METHOD;marques de tailleurs de pierre
matching;ANALYSIS_METHOD;appariement
Material analysis;ANALYSIS_METHOD;analyse des matériaux
material examination;ANALYSIS_METHOD;examen des matériaux
mechanical behaviour;ANALYSIS_METHOD;comportement mécanique
mechanical calculation;ANALYSIS_METHOD;calcul mécanique
Mechanical calculation;ANALYSIS_METHOD;calcul mécanique
Mechanics;ANALYSIS_METHOD;mécanique
mechanics of wood;ANALYSIS_METHOD;mécanique du bois
media cross sections;ANALYSIS_METHOD;sections transversales des matériaux
mercury intrusion;ANALYSIS_METHOD;intrusion de mercure
mercury intrusion porosimetry;ANALYSIS_METHOD;porosimétrie par intrusion de mercure
mercury porosimetry;ANALYSIS_METHOD;porosimétrie au mercure
mesh refinement OpenFoam;ANALYSIS_METHOD;raffinement de maillage OpenFoam
meshing;ANALYSIS_METHOD;maillagage
Metallographic analysis;ANALYSIS_METHOD;analyse métallographique
Metallographic Examinations;ANALYSIS_METHOD;examens métallographiques
metallography;ANALYSIS_METHOD;métallographie
method improvement;ANALYSIS_METHOD;amélioration de méthode
methodological approach;ANALYSIS_METHOD;approche méthodologique
Methodological approaches;ANALYSIS_METHOD;approches méthodologiques
methodological challenge of studying flows and crowds;ANALYSIS_METHOD;défi méthodologique de l'étude des flux et des foules
methodological developments;ANALYSIS_METHOD;développements méthodologiques
methodological framework;ANALYSIS_METHOD;cadre méthodologique
methodological questions;ANALYSIS_METHOD;questions méthodologiques
methodological techniques;ANALYSIS_METHOD;techniques méthodologiques
methodology;ANALYSIS_METHOD;méthodologie
methodology development;ANALYSIS_METHOD;développement de la méthodologie
methods of wood supply study;ANALYSIS_METHOD;méthodes d'étude de l'approvisionnement en bois
metric investigations;ANALYSIS_METHOD;enquêtes métriques
micropores;ANALYSIS_METHOD;micropores
microscopic observations;ANALYSIS_METHOD;observations microscopiques
microscopy;ANALYSIS_METHOD;microscopie
microscopy analysis;ANALYSIS_METHOD;analyse microscopique
microscopy techniques;ANALYSIS_METHOD;techniques de microscopie
mineralogy;ANALYSIS_METHOD;minéralogie
mining and metallurgical archaeology;ANALYSIS_METHOD;archéologie minière et métallurgique
model comparison;ANALYSIS_METHOD;comparaison de modèles
modelling;ANALYSIS_METHOD;modélisation
modelling and calculation issues;ANALYSIS_METHOD;problématiques de modélisation et de calcul
Mohr-Coulomb criterion;ANALYSIS_METHOD;critère de Mohr-Coulomb
monitoring activities;ANALYSIS_METHOD;activités de surveillance
morphological analysis of collapsed vaults;ANALYSIS_METHOD;analyse morphologique des voûtes effondrées
multidimensional analysis;ANALYSIS_METHOD;analyse multidimensionnelle
multidisciplinary approaches;ANALYSIS_METHOD;approches pluridisciplinaires
multimodal approaches;ANALYSIS_METHOD;approches multimodales
multi-proxy approach;ANALYSIS_METHOD;approche multi-indicateurs
multi-sensor based approaches;ANALYSIS_METHOD;approches basées sur les capteurs multiples
multi-temporal displacements evaluation;ANALYSIS_METHOD;évaluation des déplacements multitemporels
nanopores;ANALYSIS_METHOD;nanoporosités
narrative analysis;ANALYSIS_METHOD;analyse narrative
n-dimensional analysis;ANALYSIS_METHOD;analyse n-dimensionnelle
Nital etching;ANALYSIS_METHOD;gravure au nital
non-destructive techniques;ANALYSIS_METHOD;techniques non destructives
non-destructive testing;ANALYSIS_METHOD;contrôle non destructif
non-invasive techniques;ANALYSIS_METHOD;techniques non invasives
non-linear regression fitting;ANALYSIS_METHOD;ajustement par régression non linéaire
normalized naming;ANALYSIS_METHOD;nomination normalisée
Nuclear magnetic resonance;ANALYSIS_METHOD;résonance magnétique nucléaire
numbering;ANALYSIS_METHOD;numérotation
Numerical approaches;ANALYSIS_METHOD;approches numériques
numerical estimation;ANALYSIS_METHOD;estimation numérique
numerical methodology;ANALYSIS_METHOD;méthodologie numérique
numerical modelling;ANALYSIS_METHOD;modélisation numérique
numerical research;ANALYSIS_METHOD;recherche numérique
numerical simulation;ANALYSIS_METHOD;numerical simulation
Numerical simulations;ANALYSIS_METHOD;simulations numériques
Numerical studies;ANALYSIS_METHOD;études numériques
Oberhoffer’s etching;ANALYSIS_METHOD;gravure d'Oberhoffer
observation;ANALYSIS_METHOD;observation
observation and analysis;ANALYSIS_METHOD;observation et analyse
observation of distribution and sizes of notches;ANALYSIS_METHOD;observation de la répartition et des tailles des entailles
observation techniques;ANALYSIS_METHOD;techniques d'observation
observational study;ANALYSIS_METHOD;étude observationnelle
Observations;ANALYSIS_METHOD;observations
Optical microscopy;ANALYSIS_METHOD;microscopie optique
optimization of boundary conditions;ANALYSIS_METHOD;optimisation des conditions aux limites
ore chemical signature;ANALYSIS_METHOD;signature chimique du minerai
orthophotography;ANALYSIS_METHOD;orthophotographie
orthotropic damage model;ANALYSIS_METHOD;modèle de dommage orthotrope
paleoclimatic reconstruction;ANALYSIS_METHOD;reconstruction paléoclimatique
paleoclimatic records;ANALYSIS_METHOD;archives paléoclimatiques
paleoclimatology;ANALYSIS_METHOD;paléoclimatologie
palynological analysis;ANALYSIS_METHOD;analyse palynologique
palynology;ANALYSIS_METHOD;palynologie
PCA (Principal Component Analysis);ANALYSIS_METHOD;ACP (Analyse en Composantes Principales)
Pearson test;ANALYSIS_METHOD;test de Pearson
petrography;ANALYSIS_METHOD;pétrographie
photogrammetric recording;ANALYSIS_METHOD;enregistrement photogrammétrique
photogrammetry;ANALYSIS_METHOD;photogrammétrie
photographing;ANALYSIS_METHOD;photographie
photography;ANALYSIS_METHOD;photographie
physical analysis;ANALYSIS_METHOD;analyse physique
physical chemistry;ANALYSIS_METHOD;chimie physique
physiochemical transformations theories;ANALYSIS_METHOD;théories des transformations physico-chimiques
physiochemistry;ANALYSIS_METHOD;physico-chimie
planning restoration;ANALYSIS_METHOD;planification de la restauration
pollution signatures determination;ANALYSIS_METHOD;détermination des signatures de pollution
porosimetry;ANALYSIS_METHOD;porosimétrie
post-disaster evaluations;ANALYSIS_METHOD;évaluations post-catastrophe
post-fire diagnoses;ANALYSIS_METHOD;diagnostics post-incendie
post-fire diagnoses equilibrium point methodology;ANALYSIS_METHOD;méthodologie du point d'équilibre pour les diagnostics post-incendie
post-seismic evaluations;ANALYSIS_METHOD;évaluations post-sismiques
Prediction of round wood MOR from measured MOE;ANALYSIS_METHOD;prédiction de la RMR (Module de Rupture) du bois rond à partir des mesures de MEM (Module d'Élasticité en Traction)
principal component analysis (PCA);ANALYSIS_METHOD;analyse en composantes principales (ACP)
Probability approaches;ANALYSIS_METHOD;approches probabilistes
processing;ANALYSIS_METHOD;traitement
Prospection;ANALYSIS_METHOD;prospection
prospection in-situ;ANALYSIS_METHOD;prospection in situ
Protocol;ANALYSIS_METHOD;protocole
public survey on attendance of the towers of Notre-Dame;ANALYSIS_METHOD;enquête publique sur la fréquentation des tours de Notre-Dame
pyrolysis;ANALYSIS_METHOD;pyrolyse
quantitative analysis;ANALYSIS_METHOD;analyse quantitative
quantitative assessment;ANALYSIS_METHOD;évaluation quantitative
quantitative information extraction;ANALYSIS_METHOD;extraction d'informations quantitatives
RadCal narrow band model;ANALYSIS_METHOD;modèle RadCal à bande étroite
radial and height growth studies;ANALYSIS_METHOD;études de croissance radiale et verticale
Radial Extended model;ANALYSIS_METHOD;modèle Radial Étendu
radioactive decay;ANALYSIS_METHOD;désintégration radioactive
radiocarbon dating;ANALYSIS_METHOD;datation au radiocarbone
Raman spectroscopy;ANALYSIS_METHOD;spectroscopie Raman
random sampling;ANALYSIS_METHOD;échantillonnage aléatoire
Raster-based approach;ANALYSIS_METHOD;approche basée sur les raster
rationalistic approach;ANALYSIS_METHOD;approche rationaliste
RBS;ANALYSIS_METHOD;RBS (Backscattering de Rayons X)
RBS tomography;ANALYSIS_METHOD;tomographie RBS
RBS tomography optical spectroscopy;ANALYSIS_METHOD;spectroscopie optique par tomographie RBS
reading and analysis;ANALYSIS_METHOD;lecture et analyse
reanalysis;ANALYSIS_METHOD;réanalyse
regional calibration;ANALYSIS_METHOD;calibration régionale
regional transfer function;ANALYSIS_METHOD;fonction de transfert régionale
regression;ANALYSIS_METHOD;régression
relationship between MOE and MOR;ANALYSIS_METHOD;relation entre le MOE et le MOR
reliable identification of deformations;ANALYSIS_METHOD;identification fiable des déformations
residual error analysis;ANALYSIS_METHOD;analyse des erreurs résiduelles
restoration work modelling;ANALYSIS_METHOD;modélisation des travaux de restauration
Retrospective protocol;ANALYSIS_METHOD;protocole rétrospectif
reverse engineering;ANALYSIS_METHOD;ingénierie inverse
